web-scraper-order,web-scraper-start-url,schoollınk,schoollınk-href,CNO,SEX,AGGT,DIV,DETAILED SUBJECTS,headıng,Stats
"1548662962-1729","https://matokeo.necta.go.tz/csee/csee.htm","S3544 LIGUNGA","https://matokeo.necta.go.tz/csee/results/s3544.htm","S3544/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   E/D/KIISLAMU - 'F'   KISW - 'D'   ENGL - 'F'   LIT ENG - 'F'   BIO - 'F'   B/MATH - 'F'","S3544 LIGUNGA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 3;  DIV-III = 6;  DIV-IV = 13;  DIV-0 = 9"
"1548661987-1514","https://matokeo.necta.go.tz/csee/csee.htm","S3778 DOHOM","https://matokeo.necta.go.tz/csee/results/s3778.htm","S3778/0001","F","29","IV","CIV - 'D'   HIST - 'D'   GEO - 'D'   KISW - 'D'   ENGL - 'D'   LIT ENG - 'F'   PHY - 'X'   CHEM - 'X'   BIO - 'D'   B/MATH - 'F'","S3778 DOHOM  SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 4;  DIV-III = 7;  DIV-IV = 11;  DIV-0 = 2"
"1548678097-5214","https://matokeo.necta.go.tz/csee/csee.htm","P2420 ZIWANI PEMBA  CENTRE","https://matokeo.necta.go.tz/csee/results/p2420.htm","P2420/0001","M","-","0","GEO - 'X'   PHY - 'F'   CHEM - 'D'   B/MATH - 'F'","P2420 ZIWANI PEMBA SECONDARY SCHOOL CENTRE","DIV-I = 0;  DIV-II = 0;  DIV-III = 0;  DIV-IV = 1;  DIV-0 = 1"
"1548666269-2464","https://matokeo.necta.go.tz/csee/csee.htm","S2799 KAMENYANGA","https://matokeo.necta.go.tz/csee/results/s2799.htm","S2799/0001","F","30","IV","CIV - 'F'   HIST - 'F'   GEO - 'D'   KISW - 'D'   ENGL - 'C'   PHY - 'D'   CHEM - 'F'   BIO - 'F'   B/MATH - 'F'","S2799 KAMENYANGA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 6;  DIV-IV = 15;  DIV-0 = 11"
"1548678673-5455","https://matokeo.necta.go.tz/csee/csee.htm","P1299 KITOGANI  CENTRE","https://matokeo.necta.go.tz/csee/results/p1299.htm","P1299/0001","F","-","0","CIV - 'F'   HIST - 'F'   KISW - 'D'   ENGL - 'F'   BIO - 'F'","P1299 KITOGANI SECONDARY SCHOOL CENTRE","DIV-I = 0;  DIV-II = 0;  DIV-III = 0;  DIV-IV = 7;  DIV-0 = 1"
"1548667748-2792","https://matokeo.necta.go.tz/csee/csee.htm","S2452 LAMAITI","https://matokeo.necta.go.tz/csee/results/s2452.htm","S2452/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S2452 LAMAITI SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 1;  DIV-III = 3;  DIV-IV = 13;  DIV-0 = 2"
"1548656405-61","https://matokeo.necta.go.tz/csee/csee.htm","S5438 KOMKALAKALA","https://matokeo.necta.go.tz/csee/results/s5438.htm","S5438/0001","F","35","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'F'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S5438 KOMKALAKALA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 1;  DIV-IV = 18;  DIV-0 = 37"
"1548661152-1212","https://matokeo.necta.go.tz/csee/csee.htm","S4100 SALAMA","https://matokeo.necta.go.tz/csee/results/s4100.htm","S4100/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S4100 SALAMA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 0;  DIV-IV = 17;  DIV-0 = 4"
"1548668669-3002","https://matokeo.necta.go.tz/csee/csee.htm","S2230 NDAMA","https://matokeo.necta.go.tz/csee/results/s2230.htm","S2230/0001","F","35","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'F'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S2230 NDAMA SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 5;  DIV-III = 14;  DIV-IV = 56;  DIV-0 = 17"
"1548672560-3908","https://matokeo.necta.go.tz/csee/csee.htm","S1260 SIMA","https://matokeo.necta.go.tz/csee/results/s1260.htm","S1260/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S1260 SIMA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 5;  DIV-III = 15;  DIV-IV = 35;  DIV-0 = 17"
